"1299610","地球战场","1841","动作","4.3","2000-05-12","2000"
"1299612","狗神","1979","剧情","6.8","2001-01-27","2001"
"1299617","死人恨活人","98","喜剧","4.9","2000-01-25","2000"
"1299649","下一站…天后","27809","剧情","6.5","2003-03-13","2003"
"1299661","苏州河","122933","剧情","8","2000-09-07","2000"
"1299704","恋爱起义","1751","剧情","7","2001-04-26","2001"
"1299705","阴魂咆哮","120","恐怖","5.6","2001-10-24","2001"
"1299725","职棒双雄","222","剧情","8","2001-04-28","2001"
"1299786","失恋排行榜","6379","剧情","7.3","2000-03-28","2000"
"1299809","玩偶","14957","剧情","7.7","2002-10-12","2002"
"1299839","生命可以重来","60","剧情","7.6","2000-11-04","2000"
"1299845","汉城72小时","151","动作","6.1","2002-03-29","2002"
"1299869","教堂魅影","47","悬疑","7.2","2002-07-21","2002"
"1299910","生死抉择","2249","剧情","6.3","2000-07-18","2000"
"1299913","大人物乔","4862","剧情","7.6","2001-12-21","2001"
"1299962","深海狂鲨2","261","惊悚","4.5","2001-02-13","2001"
"1299984","挂线情未了","1705","剧情","7","2000-02-16","2000"
"1299986","夏天的滋味","4160","剧情","7.7","2000-05-24","2000"
"1300010","空之穴","122","剧情","7","2001-02-17","2001"
"1300021","礼物","1966","剧情","7.7","2001-03-24","2001"
"1300031","猫样少女","1414","剧情","7.3","2001-10-13","2001"
"1300048","蔬菜宝贝历险记","319","剧情","5.8","2002-10-04","2002"
"1300124","我爱莉莎","71","剧情","7.2","2002-12-30","2002"
"1300127","不忠","308","剧情","6.4","2001-08-31","2001"
"1300139","终极斗士","4054","剧情","6.6","2002-08-23","2002"
"1300149","2009迷失的记忆","1966","剧情","6.7","2002-02-01","2002"
"1300162","我是间谍","1615","喜剧","6.2","2002-11-01","2002"
"1300168","嗨，弗兰克","199","剧情","7.3","2002-09-01","2002"
"1300186","春逝","17790","剧情","7.8","2001-09-28","2001"
"1300246","我老婆未满十八岁","30304","喜剧","6.5","2002-09-25","2002"
"1300255","龙火","99","剧情","5.9",,"2000"
"1300268","圣经密码战","195","剧情","6.3","2001-01-05","2001"
"1300299","杀人回忆","327905","剧情","8.8","2003-05-02","2003"
"1300300","死神来了","202398","惊悚","7.8","2000-03-17","2000"
"1300358","八夜疯狂","139","剧情","6.6","2002-11-27","2002"
"1300359","大块头有大智慧","52717","剧情","6.5","2003-09-27","2003"
"1300362","水银灯下死","117","剧情","7.3","2002-11-09","2002"
"1300372","三代同堂","141","剧情","7.2","2003-04-25","2003"
"1300384","让爱飞翔","125","剧情","7.8","2004-04-10","2003"
"1300388","军官室","71","剧情","8","2001-09-26","2001"
"1300403","黑水仙","765","剧情","6.7","2003-03-01","2001"
"1300440","碧海娇娃","614","剧情","6.7","2002-08-16","2002"
"1300474","蒙面与匿名","103","剧情","6.2","2003-07-25","2003"
"1300485","婚礼","185","剧情","8.1","2000-09-27","2000"
"1300547","黑狱风云","803","动作","5.6","2002-11-15","2002"
"1300569","情感的宿命","312","剧情","7.3","2000-07-12","2000"
"1300596","摩洛哥街童","91","剧情","7.8","2000-11-25","2000"
"1300597","信仰时分","119","剧情","7.1","2002-04-19","2002"
"1300608","夕阳天使","50608","动作","6.6","2002-08-22","2002"
"1300616","买凶拍人","109292","喜剧","8.2","2001-08-16","2001"
"1300639","女仆寇拉","116","剧情","7.9","2000-10-25","2000"
"1300668","蝴蝶的微笑","100","剧情","5.7","2001-09-25","2001"
"1300698","超越边界","4087","剧情","7.7","2003-10-24","2003"
"1300699","美国空姐","4283","喜剧","6.5","2003-03-21","2003"
"1300752","座头市","30776","剧情","8","2003-09-06","2003"
"1300754","人性污点","7586","剧情","7.1","2004-03-11","2003"
"1300768","尼古拉斯·尼克贝","871","剧情","7.5","2003-06-27","2002"
"1300777","女巫布莱尔2：影子之书","603","悬疑","5.2","2000-10-27","2000"
"1300807","驯鹿游戏","2151","剧情","6.5","2000-06-15","2000"
"1300844","这份爱","89","剧情","6.6","2001-01-16","2001"
"1300888","英国贵妇与法国公爵","443","剧情","7.7","2001-09-07","2001"
"1300911","十段生命的律动","1561","剧情","7.6","2002-05-20","2002"
"1300926","圣诞怪杰","8851","喜剧","6.7","2000-11-17","2000"
"1300927","大开杀戒","429","剧情","5.6","2000-10-06","2000"
"1300931","末世圣童","122","剧情","5.8","2000-08-11","2000"
"1300946","业余小偷","9188","喜剧","7.4","2000-05-19","2000"
"1300947","拯救格雷斯","232","喜剧","7.4","2000-05-19","2000"
"1300949","疑云密布","1856","剧情","7.2","2000-06-02","2000"
"1301029","嗜血蟑螂","246","科幻","6.2","2000-07-25","2000"
"1301043","恨他入骨","38","剧情","6.3","2001-04-17","2000"
"1301054","陌路杀机","90","剧情","6.3","2001-07-21","2001"
"1301056","神鬼愿望","3069","喜剧","6.7","2000-10-19","2000"
"1301097","人狗情未了","85","喜剧","6.5","2002-04-27","2002"
"1301110","吾家有女艾芙琳","298","剧情","7.8","2002-12-13","2002"
"1301119","狼族盟约","7651","动作","6.6","2001-01-31","2001"
"1301148","野蛮入侵","3447","剧情","7.8","2003-05-21","2003"
"1301164","基地疑云","4935","剧情","6.9","2003-05-15","2003"
"1301167","102真狗","11607","喜剧","7","2000-11-22","2000"
"1301170","留住最后一支舞","1477","剧情","7.3","2001-01-12","2001"
"1301178","暗夜鬼叫声","499","惊悚","5.7","2003-01-24","2003"
"1301206","情人劫","1120","惊悚","5.8","2001-05-31","2001"
"1301272","小城之春","5701","剧情","7.2","2002-09-04","2002"
"1301276","广岛别恋","67","剧情","6.4","2001-10-17","2001"
"1301293","猎鬼行动","92","动作","5.9","2002-09-24","2002"
"1301320","楼上的舞者","146","剧情","6.8","2002-01-11","2002"
"1301325","风载歌行","48","喜剧","7.1","2003-04-16","2003"
"1301329","鸳鸯绑匪","530","喜剧","4.7","2003-08-01","2003"
"1301337","深呼吸","467","剧情","7.5","2001-11-07","2001"
"1301339","女子摇滚乐团","70","剧情","7.3","2003-09-11","2003"
"1301345","偷天换日","93080","动作","7.6","2003-05-30","2003"
"1301348","终极人鱼岛","2672","惊悚","6.6","2001-12-20","2001"
"1301376","龍咁威2003","4534","喜剧","6.5","2003-08-21","2003"
"1301391","医尽女人心","272","剧情","6","2000-10-13","2000"
"1301392","让爱传出去","5969","剧情","8.1","2000-10-20","2000"
"1301459","小岛惊魂","168041","剧情","8.1","2001-08-10","2001"
"1301479","梦游非洲","155","剧情","7.1","2000-05-05","2000"
"1301559","巴拿马裁缝","1333","剧情","6.4","2001-03-30","2001"
"1301562","少年阿虎","5713","剧情","6","2004-01-09","2003"
"1301585","风情万种","148","剧情","7.4","2000-11-24","2000"
"1301610","巴黎春梦","1198","剧情","7.3","2000-05-10","2000"
"1301705","护士贝蒂","796","喜剧","7.3","2000-09-08","2000"
"1301715","美国精神病人","49582","剧情","7.7","2000-01-21","2000"
"1301730","首席执行官","1083","剧情","6.9","2002-10-22","2002"
"1301745","暗潮汹涌","158","剧情","6.8","2000-10-13","2000"
"1301756","我办事你放心","854","剧情","7.4","2000-12-01","2000"
"1301788","怪医杜立德2","3403","喜剧","6.5","2001-06-20","2001"
"1301856","生死花园","1729","剧情","8.7","2003-03-26","2003"
"1301861","惊声尖笑3","25200","喜剧","6.8","2003-10-24","2003"
"1301876","阿虎","15587","剧情","6.8","2000-12-21","2000"
"1301886","居家男人","34260","剧情","8","2000-12-22","2000"
"1301887","变身国王","7937","喜剧","8","2000-12-15","2000"
"1301888","墨西哥人","7329","喜剧","7","2001-04-26","2001"
"1301889","惊爆十三天","3642","剧情","7.9","2000-12-16","2000"
"1301890","浓情巧克力","95851","剧情","8","2000-12-15","2000"
"1301891","内神外鬼","246","喜剧","6.2","2000-10-24","2000"
"1301939","火星幽灵","1717","动作","5.3","2001-08-24","2001"
"1301942","亚特兰蒂斯2：神秘的水晶","441","喜剧","6.5","2003-05-13","2003"
"1301996","贪吃树","5796","剧情","7.9","2000-09-07","2000"
"1302048","蛇行太保","94","剧情","6","2003-01-31","2003"
"1302096","人体雕塑","347","剧情","6.4","2003-05-09","2003"
"1302109","十二夜","55628","剧情","8.1","2000-04-20","2000"
"1302159","老师的椅子","54","剧情","7.7","2004-04-09","2003"
"1302164","特警新人类2：机动任务","4046","动作","5.9","2000-12-14","2000"
"1302166","些许故事","492","剧情","8.1","2002-10-24","2002"
"1302168","玻璃少女","201","剧情","7.2","2001-04-08","2001"
"1302199","网上有缘","314","喜剧","7.2","2002-05-20","2002"
"1302201","众神与将军","1500","剧情","8","2003-02-21","2003"
